,best_epoch,best_val_accuracy,best_val_loss,best_val_top_5_accuracy,epochs_trained
EfficientNetB0 Fine-Tuned,5.0,0.8512820601463318,0.4821891784667969,0.986480176448822,9.0
EfficientNetB0 Frozen,10.0,0.8482517600059509,0.48859909176826477,0.9861305356025696,12.0
Fusion (Frozen Backbones),15.0,0.8407925367355347,0.5325614213943481,0.9819347262382507,15.0
ResNet50 Fine-Tuned,3.0,0.7916083931922913,0.7079827785491943,0.9701631665229797,7.0
ResNet50 Frozen,12.0,0.7756410241127014,0.819480299949646,0.9668997526168823,12.0
