,val_accuracy,val_loss,val_top_5_accuracy,epochs_trained
EfficientNetB0 Frozen,0.8530303239822388,0.47482746839523315,0.9874125719070435,20.0
EfficientNetB0 Fine-Tuned,0.8502330780029297,0.4794465899467468,0.9868298172950745,8.0
Fusion (Frozen Backbones),0.8310023546218872,1.3500231504440308,0.9785547852516174,20.0
ResNet50 Fine-Tuned,0.7909091114997864,0.701622486114502,0.9710955619812012,10.0
ResNet50 Frozen,0.7759906649589539,0.7736391425132751,0.9680652618408203,15.0
